job,marital,education,default,housing,loan,contact,month,poutcome,deposit
admin.,married,secondary,no,yes,no,unknown,may,unknown,yes
admin.,married,secondary,no,no,no,unknown,may,unknown,yes
technician,married,secondary,no,yes,no,unknown,may,unknown,yes
services,married,secondary,no,yes,no,unknown,may,unknown,yes
admin.,married,tertiary,no,no,no,unknown,may,unknown,yes
management,single,tertiary,no,yes,yes,unknown,may,unknown,yes
management,married,tertiary,no,yes,yes,unknown,may,unknown,yes
retired,divorced,secondary,no,yes,no,unknown,may,unknown,yes
technician,married,secondary,no,yes,no,unknown,may,unknown,yes
services,single,secondary,no,yes,no,unknown,may,unknown,yes
admin.,single,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,yes
management,married,tertiary,no,yes,yes,unknown,may,unknown,yes
blue-collar,single,tertiary,no,yes,no,unknown,may,unknown,yes
technician,single,tertiary,no,yes,no,unknown,may,unknown,yes
management,divorced,tertiary,no,yes,no,unknown,may,unknown,yes
blue-collar,single,primary,no,yes,no,unknown,may,unknown,yes
services,married,secondary,no,yes,no,unknown,may,unknown,yes
admin.,married,secondary,no,yes,no,unknown,may,unknown,yes
admin.,divorced,secondary,no,yes,yes,unknown,may,unknown,yes
admin.,divorced,secondary,no,yes,no,unknown,may,unknown,yes
management,single,tertiary,no,yes,no,unknown,may,unknown,yes
management,divorced,tertiary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,primary,no,yes,no,unknown,may,unknown,yes
unemployed,single,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,single,secondary,no,yes,no,unknown,may,unknown,yes
technician,single,tertiary,no,yes,no,unknown,may,unknown,yes
blue-collar,single,secondary,no,yes,no,unknown,may,unknown,yes
admin.,married,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,single,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,secondary,yes,yes,no,unknown,may,unknown,yes
technician,married,primary,no,yes,no,unknown,may,unknown,yes
blue-collar,single,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,divorced,primary,no,yes,no,unknown,may,unknown,yes
management,single,tertiary,no,no,no,unknown,may,unknown,yes
blue-collar,married,primary,no,no,no,unknown,may,unknown,yes
management,divorced,secondary,no,yes,no,unknown,may,unknown,yes
management,married,tertiary,no,yes,no,unknown,may,unknown,yes
entrepreneur,single,primary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,primary,no,yes,yes,unknown,may,unknown,yes
management,married,tertiary,no,yes,no,unknown,may,unknown,yes
entrepreneur,divorced,tertiary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,yes
management,married,unknown,no,yes,no,unknown,may,unknown,yes
blue-collar,divorced,primary,no,yes,no,unknown,may,unknown,yes
technician,married,secondary,no,yes,no,unknown,may,unknown,yes
housemaid,married,secondary,no,yes,no,unknown,may,unknown,yes
technician,divorced,primary,no,yes,no,unknown,may,unknown,yes
blue-collar,divorced,primary,no,yes,no,unknown,may,unknown,yes
blue-collar,single,primary,no,yes,no,unknown,may,unknown,yes
management,divorced,tertiary,no,yes,yes,unknown,may,unknown,yes
retired,married,secondary,no,yes,yes,unknown,may,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,yes
admin.,married,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,yes
retired,married,primary,no,yes,no,unknown,may,unknown,yes
technician,single,unknown,no,yes,no,unknown,may,unknown,yes
technician,married,tertiary,no,no,no,unknown,may,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,divorced,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,divorced,primary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,primary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,unknown,no,yes,no,unknown,may,unknown,yes
unknown,married,primary,no,yes,yes,unknown,may,unknown,yes
services,married,primary,no,yes,no,unknown,may,unknown,yes
admin.,married,primary,no,yes,no,unknown,may,unknown,yes
technician,married,tertiary,no,yes,no,unknown,may,unknown,yes
services,single,primary,no,yes,no,unknown,may,unknown,yes
management,married,tertiary,no,no,no,unknown,may,unknown,yes
retired,divorced,primary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,primary,no,yes,no,unknown,may,unknown,yes
technician,single,secondary,no,yes,no,unknown,may,unknown,yes
services,single,unknown,no,yes,no,unknown,may,unknown,yes
technician,married,tertiary,no,yes,yes,unknown,may,unknown,yes
self-employed,single,tertiary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,yes
admin.,single,secondary,no,yes,yes,unknown,may,unknown,yes
services,divorced,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,single,secondary,no,yes,no,unknown,may,unknown,yes
technician,single,secondary,no,yes,no,unknown,may,unknown,yes
admin.,divorced,secondary,no,yes,no,unknown,may,unknown,yes
technician,single,tertiary,no,yes,no,unknown,may,unknown,yes
management,single,tertiary,no,yes,no,unknown,may,unknown,yes
technician,single,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,primary,no,yes,yes,unknown,may,unknown,yes
management,single,secondary,no,yes,no,unknown,may,unknown,yes
admin.,single,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,yes
admin.,married,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,yes
services,divorced,secondary,no,yes,no,unknown,may,unknown,yes
management,divorced,tertiary,no,yes,no,unknown,may,unknown,yes
technician,single,tertiary,no,yes,yes,unknown,may,unknown,yes
technician,married,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,divorced,secondary,no,yes,no,unknown,may,unknown,yes
services,single,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,primary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,yes
