Name,HP,Attack,Defense,SpAtk,SpDef,Speed
Exeggcute,60,40,80,NA,45,40
Exeggutor,95,95,85,125,65,55
Tangela,65,55,NA,100,40,60
Chikorita,45,49,65,49,65,45
Bayleef,60,62,80,63,NA,60
Meganium,80,82,100,83,100,80
Bellossom,75,80,95,90,100,50
Hoppip,35,35,40,NA,55,50
Skiploom,55,45,50,45,65,80
Jumpluff,75,55,70,55,95,110
Sunkern,30,30,30,30,30,30
Sunflora,75,75,55,105,85,30
Treecko,40,45,35,65,55,70
Grovyle,50,65,45,85,65,95
Sceptile,70,85,65,105,85,120
SceptileMega Sceptile,70,110,75,145,85,145
Seedot,40,40,50,30,30,30
Nuzleaf,70,70,40,60,40,60
Shiftry,90,100,60,90,60,80
Shroomish,60,40,60,40,60,35
Breloom,60,130,80,60,60,70
Roselia,50,60,45,100,80,65
Cacnea,50,85,40,85,40,35
Cacturne,70,115,60,115,60,55
Tropius,99,68,83,72,87,51
Turtwig,55,68,64,45,55,31
Grotle,75,89,85,55,65,36
Torterra,95,109,105,75,85,56
Budew,40,30,35,50,70,55
Roserade,60,70,65,125,105,90
Cherubi,45,35,45,62,53,35
Cherrim,70,60,70,87,78,85
Carnivine,74,100,72,90,72,46
Snover,60,62,50,62,60,40
Abomasnow,90,92,75,92,85,60
AbomasnowMega Abomasnow,90,132,105,132,105,30
Tangrowth,100,100,125,110,50,50
Leafeon,65,110,130,60,65,95
ShayminLand Forme,100,100,100,100,100,100
ShayminSky Forme,100,103,75,120,75,127
Snivy,45,45,55,45,55,63
Servine,60,60,75,60,75,83
Serperior,75,75,95,75,95,113
Pansage,50,53,48,53,48,64
Simisage,75,98,63,98,63,101
Cottonee,40,27,60,37,50,66
Whimsicott,60,67,85,77,75,116
Petilil,45,35,50,70,50,30
Lilligant,70,60,75,110,75,90
Maractus,75,86,67,106,67,60
Foongus,69,55,45,55,55,15
Amoonguss,114,85,70,85,80,30
Ferroseed,44,50,91,24,86,10
Ferrothorn,74,94,131,54,116,20
Virizion,91,90,72,90,129,108
